Geneid_raw,Geneid,gene_name,gene_type
ENSG00000156508.21,ENSG00000156508,EEF1A1,protein_coding
ENSG00000198804.2,ENSG00000198804,MT-CO1,protein_coding
ENSG00000210082.2,ENSG00000210082,MT-RNR2,Mt_rRNA
ENSG00000075624.18,ENSG00000075624,ACTB,protein_coding
ENSG00000198886.2,ENSG00000198886,MT-ND4,protein_coding
ENSG00000074800.17,ENSG00000074800,ENO1,protein_coding
ENSG00000198938.2,ENSG00000198938,MT-CO3,protein_coding
ENSG00000133112.18,ENSG00000133112,TPT1,protein_coding
ENSG00000198899.2,ENSG00000198899,MT-ATP6,protein_coding
ENSG00000111640.16,ENSG00000111640,GAPDH,protein_coding
ENSG00000166710.24,ENSG00000166710,B2M,protein_coding
ENSG00000198712.1,ENSG00000198712,MT-CO2,protein_coding
ENSG00000205542.12,ENSG00000205542,TMSB4X,protein_coding
ENSG00000134333.16,ENSG00000134333,LDHA,protein_coding
ENSG00000187514.18,ENSG00000187514,PTMA,protein_coding
ENSG00000096384.21,ENSG00000096384,HSP90AB1,protein_coding
ENSG00000080824.20,ENSG00000080824,HSP90AA1,protein_coding
ENSG00000174444.16,ENSG00000174444,RPL4,protein_coding
ENSG00000167658.17,ENSG00000167658,EEF2,protein_coding
ENSG00000100316.17,ENSG00000100316,RPL3,protein_coding
ENSG00000135486.20,ENSG00000135486,HNRNPA1,protein_coding
ENSG00000184009.14,ENSG00000184009,ACTG1,protein_coding
ENSG00000109971.15,ENSG00000109971,HSPA8,protein_coding
ENSG00000198786.2,ENSG00000198786,MT-ND5,protein_coding
ENSG00000008517.20,ENSG00000008517,IL32,protein_coding
ENSG00000044574.10,ENSG00000044574,HSPA5,protein_coding
ENSG00000145425.11,ENSG00000145425,RPS3A,protein_coding
ENSG00000147403.19,ENSG00000147403,RPL10,protein_coding
ENSG00000089157.17,ENSG00000089157,RPLP0,protein_coding
ENSG00000137154.14,ENSG00000137154,RPS6,protein_coding
ENSG00000211459.2,ENSG00000211459,MT-RNR1,Mt_rRNA
ENSG00000122566.24,ENSG00000122566,HNRNPA2B1,protein_coding
ENSG00000140988.17,ENSG00000140988,RPS2,protein_coding
ENSG00000142541.19,ENSG00000142541,RPL13A,protein_coding
ENSG00000198727.2,ENSG00000198727,MT-CYB,protein_coding
ENSG00000072274.15,ENSG00000072274,TFRC,protein_coding
ENSG00000181163.15,ENSG00000181163,NPM1,protein_coding
ENSG00000198763.3,ENSG00000198763,MT-ND2,protein_coding
ENSG00000070756.18,ENSG00000070756,PABPC1,protein_coding
ENSG00000136167.16,ENSG00000136167,LCP1,protein_coding
ENSG00000115053.18,ENSG00000115053,NCL,protein_coding
ENSG00000102144.16,ENSG00000102144,PGK1,protein_coding
ENSG00000067225.22,ENSG00000067225,PKM,protein_coding
ENSG00000147604.15,ENSG00000147604,RPL7,protein_coding
ENSG00000198888.2,ENSG00000198888,MT-ND1,protein_coding
ENSG00000115415.22,ENSG00000115415,STAT1,protein_coding
ENSG00000148303.18,ENSG00000148303,RPL7A,protein_coding
ENSG00000149273.16,ENSG00000149273,RPS3,protein_coding
ENSG00000198034.12,ENSG00000198034,RPS4X,protein_coding
ENSG00000234745.15,ENSG00000234745,HLA-B,protein_coding
ENSG00000231500.8,ENSG00000231500,RPS18,protein_coding
ENSG00000168028.16,ENSG00000168028,RPSA,protein_coding
ENSG00000206503.16,ENSG00000206503,HLA-A,protein_coding
ENSG00000196262.16,ENSG00000196262,PPIA,protein_coding
ENSG00000196924.20,ENSG00000196924,FLNA,protein_coding
ENSG00000142937.13,ENSG00000142937,RPS8,protein_coding
ENSG00000187109.16,ENSG00000187109,NAP1L1,protein_coding
ENSG00000166598.17,ENSG00000166598,HSP90B1,protein_coding
ENSG00000108654.17,ENSG00000108654,DDX5,protein_coding
ENSG00000163682.18,ENSG00000163682,RPL9,protein_coding
ENSG00000111669.16,ENSG00000111669,TPI1,protein_coding
ENSG00000147065.19,ENSG00000147065,MSN,protein_coding
ENSG00000110321.19,ENSG00000110321,EIF4G2,protein_coding
ENSG00000081237.23,ENSG00000081237,PTPRC,protein_coding
ENSG00000145649.8,ENSG00000145649,GZMA,protein_coding
ENSG00000196230.15,ENSG00000196230,TUBB,protein_coding
ENSG00000179218.16,ENSG00000179218,CALR,protein_coding
ENSG00000164924.19,ENSG00000164924,YWHAZ,protein_coding
ENSG00000134954.15,ENSG00000134954,ETS1,protein_coding
ENSG00000164587.14,ENSG00000164587,RPS14,protein_coding
ENSG00000142534.8,ENSG00000142534,RPS11,protein_coding
ENSG00000138326.22,ENSG00000138326,RPS24,protein_coding
ENSG00000174748.23,ENSG00000174748,RPL15,protein_coding
ENSG00000122026.13,ENSG00000122026,RPL21,protein_coding
ENSG00000034510.7,ENSG00000034510,TMSB10,protein_coding
ENSG00000127022.17,ENSG00000127022,CANX,protein_coding
ENSG00000169045.20,ENSG00000169045,HNRNPH1,protein_coding
ENSG00000065978.20,ENSG00000065978,YBX1,protein_coding
ENSG00000161016.19,ENSG00000161016,RPL8,protein_coding
ENSG00000122406.15,ENSG00000122406,RPL5,protein_coding
ENSG00000023445.18,ENSG00000023445,BIRC3,protein_coding
ENSG00000204628.13,ENSG00000204628,RACK1,protein_coding
ENSG00000100345.24,ENSG00000100345,MYH9,protein_coding
ENSG00000108298.13,ENSG00000108298,RPL19,protein_coding
ENSG00000138071.16,ENSG00000138071,ACTR2,protein_coding
ENSG00000143384.14,ENSG00000143384,MCL1,protein_coding
ENSG00000089009.17,ENSG00000089009,RPL6,protein_coding
ENSG00000092199.20,ENSG00000092199,HNRNPC,protein_coding
ENSG00000198830.14,ENSG00000198830,HMGN2,protein_coding
ENSG00000108518.9,ENSG00000108518,PFN1,protein_coding
ENSG00000142676.15,ENSG00000142676,RPL11,protein_coding
ENSG00000153187.22,ENSG00000153187,HNRNPU,protein_coding
ENSG00000167526.16,ENSG00000167526,RPL13,protein_coding
ENSG00000143947.16,ENSG00000143947,RPS27A,protein_coding
ENSG00000140105.19,ENSG00000140105,WARS1,protein_coding
ENSG00000143549.23,ENSG00000143549,TPM3,protein_coding
ENSG00000212907.2,ENSG00000212907,MT-ND4L,protein_coding
ENSG00000204525.19,ENSG00000204525,HLA-C,protein_coding
ENSG00000142864.16,ENSG00000142864,SERBP1,protein_coding
ENSG00000165119.24,ENSG00000165119,HNRNPK,protein_coding
ENSG00000147162.16,ENSG00000147162,OGT,protein_coding
ENSG00000166441.14,ENSG00000166441,RPL27A,protein_coding
ENSG00000137818.13,ENSG00000137818,RPLP1,protein_coding
ENSG00000100201.23,ENSG00000100201,DDX17,protein_coding
ENSG00000059804.19,ENSG00000059804,SLC2A3,protein_coding
ENSG00000100453.15,ENSG00000100453,GZMB,protein_coding
ENSG00000111348.10,ENSG00000111348,ARHGDIB,protein_coding
ENSG00000189403.16,ENSG00000189403,HMGB1,protein_coding
ENSG00000081320.13,ENSG00000081320,STK17B,protein_coding
ENSG00000105372.9,ENSG00000105372,RPS19,protein_coding
ENSG00000144381.19,ENSG00000144381,HSPD1,protein_coding
ENSG00000125691.16,ENSG00000125691,RPL23,protein_coding
ENSG00000198695.2,ENSG00000198695,MT-ND6,protein_coding
ENSG00000245532.13,ENSG00000245532,NEAT1,lncRNA
ENSG00000204592.10,ENSG00000204592,HLA-E,protein_coding
ENSG00000063046.19,ENSG00000063046,EIF4B,protein_coding
ENSG00000019582.18,ENSG00000019582,CD74,protein_coding
ENSG00000188846.14,ENSG00000188846,RPL14,protein_coding
ENSG00000152558.16,ENSG00000152558,TMEM123,protein_coding
ENSG00000026025.17,ENSG00000026025,VIM,protein_coding
ENSG00000215301.12,ENSG00000215301,DDX3X,protein_coding
ENSG00000186468.14,ENSG00000186468,RPS23,protein_coding
ENSG00000105835.14,ENSG00000105835,NAMPT,protein_coding
ENSG00000197756.11,ENSG00000197756,RPL37A,protein_coding
ENSG00000118181.12,ENSG00000118181,RPS25,protein_coding
ENSG00000105640.14,ENSG00000105640,RPL18A,protein_coding
ENSG00000115091.13,ENSG00000115091,ACTR3,protein_coding
ENSG00000173821.20,ENSG00000173821,RNF213,protein_coding
ENSG00000107581.15,ENSG00000107581,EIF3A,protein_coding
ENSG00000229117.10,ENSG00000229117,RPL41,protein_coding
ENSG00000171863.16,ENSG00000171863,RPS7,protein_coding
ENSG00000102879.18,ENSG00000102879,CORO1A,protein_coding
ENSG00000167978.19,ENSG00000167978,SRRM2,protein_coding
ENSG00000111371.17,ENSG00000111371,SLC38A1,protein_coding
ENSG00000105220.18,ENSG00000105220,GPI,protein_coding
ENSG00000139644.14,ENSG00000139644,TMBIM6,protein_coding
ENSG00000113013.17,ENSG00000113013,HSPA9,protein_coding
ENSG00000163466.17,ENSG00000163466,ARPC2,protein_coding
ENSG00000167004.15,ENSG00000167004,PDIA3,protein_coding
ENSG00000115524.18,ENSG00000115524,SF3B1,protein_coding
ENSG00000172757.13,ENSG00000172757,CFL1,protein_coding
ENSG00000173812.12,ENSG00000173812,EIF1,protein_coding
ENSG00000198755.12,ENSG00000198755,RPL10A,protein_coding
ENSG00000116560.12,ENSG00000116560,SFPQ,protein_coding
ENSG00000026508.22,ENSG00000026508,CD44,protein_coding
ENSG00000008988.12,ENSG00000008988,RPS20,protein_coding
ENSG00000198668.15,ENSG00000198668,CALM1,protein_coding
ENSG00000198242.15,ENSG00000198242,RPL23A,protein_coding
ENSG00000009307.18,ENSG00000009307,CSDE1,protein_coding
ENSG00000164104.13,ENSG00000164104,HMGB2,protein_coding
ENSG00000114867.23,ENSG00000114867,EIF4G1,protein_coding
ENSG00000134107.6,ENSG00000134107,BHLHE40,protein_coding
ENSG00000092841.20,ENSG00000092841,MYL6,protein_coding
ENSG00000103187.8,ENSG00000103187,COTL1,protein_coding
ENSG00000150991.17,ENSG00000150991,UBC,protein_coding
ENSG00000070669.18,ENSG00000070669,ASNS,protein_coding
ENSG00000152601.19,ENSG00000152601,MBNL1,protein_coding
ENSG00000196405.14,ENSG00000196405,EVL,protein_coding
ENSG00000160710.20,ENSG00000160710,ADAR,protein_coding
ENSG00000115904.16,ENSG00000115904,SOS1,protein_coding
ENSG00000131236.19,ENSG00000131236,CAP1,protein_coding
ENSG00000112306.9,ENSG00000112306,RPS12,protein_coding
ENSG00000165732.15,ENSG00000165732,DDX21,protein_coding
ENSG00000142102.17,ENSG00000142102,PGGHG,protein_coding
ENSG00000087460.29,ENSG00000087460,GNAS,protein_coding
ENSG00000131747.16,ENSG00000131747,TOP2A,protein_coding
ENSG00000184640.21,ENSG00000184640,SEPTIN9,protein_coding
ENSG00000162244.13,ENSG00000162244,RPL29,protein_coding
ENSG00000132475.11,ENSG00000132475,H3-3B,protein_coding
ENSG00000185624.17,ENSG00000185624,P4HB,protein_coding
ENSG00000164400.6,ENSG00000164400,CSF2,protein_coding
