,A1-DMSO-un-1-LJC17506_L1,A2-DMSO-un-2-LJC17507_L1,A3-DMSO-un-3-LJC17508_L1,A4-DMSO-un-4-LJC17509_L1,A5-DMSO-CD19-1-LJC17518_L1,A6-DMSO-CD19-2-LJC17519_L1,A7-DMSO-CD19-3-LJC17520_L1,A8-DMSO-CD19-4-LJC17521_L1,B1-GSK-un-1-LJC17510_L1,B2-GSK-un-2-LJC17511_L1,B3-GSK-un-3-LJC17512_L1,B4-GSK-un-4-LJC17513_L1,B5-GSK-CD19-1-LJC17522_L1,B6-GSK-CD19-2-LJC17523_L1,B7-GSK-CD19-3-LJC17524_L1,B8-GSK-CD19-4-LJC17525_L1,C1-PBMC-un-1-LJC17514_L1,C2-PBMC-un-2-LJC17515_L1,C3-PBMC-un-3-LJC17516_L1,C4-PBMC-un-4-LJC17517_L1,C5-PBMC-CD19-1-LJC17526_L1,C6-PBMC-CD19-2-LJC17527_L0,C7-PBMC-CD19-3-LJC17528_L1,C8-PBMC-CD19-4-LJC17529-RL1_L0
ENSG00000156508.21,243692,240639,236120,248429,256942,189002,222306,229368,277575,252483,263806,279122,188979,328701,208347,191721,266125,232183,203673,246380,191841,236696,175652,275206
ENSG00000198804.2,174845,170115,173967,180384,127876,82845,94425,83624,278368,317639,270977,286822,62160,108295,72167,61363,256775,211592,164480,207346,70515,77948,62587,103742
ENSG00000210082.2,103113,97367,102479,107740,79132,54284,60304,66890,81970,90137,79980,82865,154252,287114,194714,187483,74573,64328,54270,66223,152835,215704,152183,218821
ENSG00000075624.18,110639,98014,93354,101435,105573,78233,86784,89418,177313,201318,172340,183581,27856,44577,25347,23042,191746,178209,162881,205051,26131,30425,21785,31135
ENSG00000198886.2,106563,102649,106034,111243,72939,47107,52847,50209,128635,162451,123072,129651,42876,78717,51265,44423,134259,117153,105123,128489,47350,54751,42541,69961
ENSG00000074800.17,60770,62124,58773,62660,93611,77782,90397,96236,62053,80240,61973,63565,81129,138214,84475,78698,61681,59754,56020,66564,77493,100367,73143,107367
ENSG00000198938.2,58063,56237,56833,61422,29739,18977,21487,19026,115102,145791,110830,117499,30804,54782,36488,32334,105692,86746,70271,86255,34904,41255,32069,50524
ENSG00000133112.18,59143,54903,58224,60820,90607,67949,79781,80517,57716,70627,55998,58322,41661,78420,46545,42242,55785,49721,41487,51273,42660,53187,38209,60815
ENSG00000198899.2,68436,59189,69101,72019,30297,19250,20795,19434,115964,147657,109727,110350,16637,30509,19535,15215,110822,97625,79243,99171,20134,19746,14922,28517
ENSG00000111640.16,51288,49389,47548,52741,57946,48648,57756,61874,42320,57066,41190,44179,57387,106765,63906,58739,44402,41141,39327,46568,52973,72482,51068,75449
ENSG00000166710.24,49160,44732,47129,50287,67793,50405,58566,61194,71196,66012,65382,70617,22451,42486,25606,24811,68472,60885,52920,64724,22551,28853,20707,32215
ENSG00000198712.1,55858,56689,55240,60080,34597,22927,26018,23340,81761,112548,76569,81851,16447,29134,19277,16144,74592,66441,53862,65667,19085,20219,16506,27325
ENSG00000205542.12,56575,57341,53482,56029,55496,44987,46623,54667,67073,88970,60280,67534,14352,25181,14933,14314,66600,63367,59984,71946,13316,18399,12507,20009
ENSG00000134333.16,28705,28149,27299,29299,48486,36336,42003,45616,34854,38509,35886,36161,59665,97332,56323,50861,34575,35130,34754,39742,56809,70238,51335,83539
ENSG00000187514.18,29957,28047,26877,30083,24574,19334,22826,24011,54358,55029,53950,56140,43350,78238,49943,44926,56085,50474,44497,53476,42550,56456,40637,60412
ENSG00000096384.21,29483,30317,28741,30309,20704,14103,16568,16922,40657,31945,38787,40358,61542,98200,58655,52004,43144,39944,39771,45444,63224,67086,49845,80447
ENSG00000080824.20,26348,25281,26165,26728,16503,10641,12089,12412,49018,30502,42852,45955,73798,91520,47512,43961,47635,42318,40179,47099,73112,72451,45790,71594
ENSG00000174444.16,34757,32668,32873,35393,36935,27225,32126,32940,40147,44214,37964,40511,49792,83105,52318,48978,39148,34037,30145,35542,48695,62121,44135,64502
ENSG00000167658.17,40179,37896,36132,39355,38307,31685,37466,39087,28598,30344,27575,29219,53166,93032,55352,51757,30838,27803,25787,31398,49936,65218,45589,68717
ENSG00000100316.17,42360,43961,41126,43603,45391,35758,41847,43810,41045,49473,39587,42536,35173,65987,40741,38761,40855,36017,31573,37386,33837,45196,33479,47261
ENSG00000135486.20,39304,38458,37941,40092,33247,23956,28526,29138,58398,54464,56132,58085,33267,49173,29858,26450,57125,50533,45386,53442,34703,36625,26854,44590
ENSG00000184009.14,46613,41386,39987,43568,38214,28880,32408,31358,68257,73310,66350,70127,11095,20766,11907,10823,74309,69387,66242,80072,10219,12805,9460,12699
ENSG00000109971.15,27326,27217,26803,27446,24131,15771,17404,17841,65555,60234,58917,63999,40296,51291,26669,25626,66039,59024,56497,66093,37734,38668,26743,38573
ENSG00000198786.2,51975,51361,50925,52008,36884,22381,24602,23465,69747,66058,66633,68582,12278,22720,14061,12812,70201,60337,53163,64471,13835,14779,11457,18422
ENSG00000008517.20,53726,54805,49824,53787,66143,51520,59182,61581,49436,71264,48040,49443,3621,8025,3979,3666,55349,55745,54526,66993,3484,4264,2948,5345
ENSG00000044574.10,8779,8324,8308,8686,12332,11840,15819,14575,14457,11198,13583,13601,81525,117221,65526,59308,17450,17400,18771,21805,79849,99712,63589,116560
ENSG00000145425.11,31406,30917,30337,32351,37591,27739,32882,33508,39257,46744,36415,39677,34655,63982,39209,37825,37197,31915,26537,31485,33035,45518,31901,45535
ENSG00000147403.19,34513,34607,33271,35517,42507,33408,39090,39893,40982,57517,39196,42026,27048,47664,29424,28126,39160,34505,29849,36265,26094,33981,24525,35117
ENSG00000089157.17,28274,28063,27045,29510,26790,20320,24514,24828,41484,52868,38208,42170,32976,60471,36465,34979,39482,34326,29481,36063,31355,42286,29529,41381
ENSG00000137154.14,29028,29933,28465,30025,32677,23966,28687,28825,36596,42295,35863,37668,33814,61061,37926,36071,35900,31551,26560,32133,32228,43496,31397,44223
ENSG00000211459.2,7011,7265,6914,7572,9192,7350,8336,8400,4361,4975,4505,4339,72651,124789,87178,79234,4090,3652,3283,3818,74481,98207,78582,109377
ENSG00000122566.24,27216,25386,25842,28088,23772,15761,18176,18680,45100,34882,42557,43674,35507,52928,31077,28251,45524,40480,38400,44672,37560,39795,27999,46083
ENSG00000140988.17,31051,29604,28842,31393,31161,25135,28407,29803,35194,49380,35278,36186,29573,56850,35631,32112,35525,30837,26965,33462,28188,39642,26993,38996
ENSG00000142541.19,36610,36159,35176,38058,38782,30515,35615,37216,30782,41328,29203,31978,28754,51974,32977,30652,31448,27220,24121,28546,27775,36625,26136,36986
ENSG00000198727.2,34540,34974,33791,36464,18627,13525,14647,13336,62904,79389,61386,62170,13492,21722,14993,13101,61011,52436,41452,51644,15827,17068,14633,21286
ENSG00000072274.15,10751,10172,10828,11011,7424,5098,6235,6068,9123,5422,8218,8259,71690,114699,66242,62715,9910,9158,10002,11744,67116,86853,62447,107468
ENSG00000181163.15,21995,21395,21784,23094,17998,12792,15342,15414,29424,28284,26263,28070,44906,69022,43515,38735,28919,25579,25051,28745,47664,51756,39053,62599
ENSG00000198763.3,33724,32253,33938,36875,13157,8077,9329,10718,54692,76062,49951,52024,17832,29461,17575,15090,53409,45897,41043,51499,21200,19515,14697,24098
ENSG00000070756.18,25515,22696,23742,25670,31567,23801,26728,28316,24968,27432,25883,25644,38051,66472,40455,38048,25729,22677,18791,23203,37723,48432,34523,54046
ENSG00000136167.16,29934,27669,28802,30076,31512,20659,24325,26090,51661,36859,47370,49626,17111,28566,17309,16676,51972,46813,43870,51909,16551,22287,15664,24694
ENSG00000115053.18,20958,21104,19992,20763,16409,11490,13882,14436,33528,25884,32791,32757,38264,63621,38222,33453,33571,30574,28394,33366,39665,42394,32622,54727
ENSG00000102144.16,27103,26148,25562,27844,52587,40945,47090,52227,21749,24675,20934,21239,26316,47000,28480,26488,21999,22358,21833,26516,24613,33617,24798,38634
ENSG00000067225.22,29049,28241,26055,28721,31851,25566,29254,30747,22779,29256,24222,23365,29868,53056,32416,28702,27346,28707,30336,35211,29484,35337,26484,40691
ENSG00000147604.15,28203,29277,27174,29358,27439,20712,24415,25360,31922,35848,30536,32907,28500,51202,32259,30151,30412,27162,24467,28516,27966,37066,26159,38085
ENSG00000198888.2,30276,29803,28942,30760,10059,6990,8074,8471,51500,71443,49617,48997,17108,30108,18083,16077,51250,44023,39830,49094,18518,19667,14745,22492
ENSG00000115415.22,26206,23526,25832,27125,42536,30658,35431,33786,62740,42017,60321,62129,9047,17022,9876,10038,50882,39237,28145,34417,8070,13462,9195,13234
ENSG00000148303.18,27676,28776,26570,28702,30252,23670,27826,28868,30067,40492,29245,30701,26720,46872,30653,28387,29825,25825,23415,27395,25437,34505,25515,35122
ENSG00000149273.16,26263,26617,24906,27736,27770,22392,26240,27177,28674,42773,26830,29053,25676,46076,28152,26924,28181,24805,21789,26251,23603,31598,22596,30890
ENSG00000198034.12,30751,31396,30495,31415,35810,26381,31833,32720,24253,30976,23109,24294,21190,38734,23078,21824,25744,24052,22550,26922,20116,25298,18741,27573
ENSG00000234745.15,25475,24381,23905,26452,33162,27540,30744,32889,32907,41237,31284,32280,16960,33746,19740,18169,33329,30346,28309,33959,15300,20599,14580,21931
ENSG00000231500.8,21091,22369,19999,21279,25284,19680,23684,24443,23604,34854,21899,25530,28304,50096,30340,30020,23271,20814,18661,21320,25556,36072,25363,32270
ENSG00000168028.16,22015,22136,20759,21875,19205,14695,17619,17678,30068,39111,28137,30179,24652,43508,26698,25226,28958,25802,22946,27929,23436,31514,22440,31771
ENSG00000206503.16,25642,24642,23277,25741,36841,30996,35510,37914,25414,34902,25273,26108,14171,30202,17125,16005,26661,25430,24094,28762,12769,17668,12500,19371
ENSG00000196262.16,16877,16886,16243,17042,12600,8833,10471,10507,29883,33966,27480,29867,27825,47995,29168,28124,29069,25918,23404,27908,26567,34714,24373,33905
ENSG00000196924.20,26305,24866,23608,25606,21674,16199,18268,19681,26985,21190,26027,25796,14455,29644,15844,15555,36079,36500,41959,50539,11813,19139,12609,20115
ENSG00000142937.13,19594,19824,18736,19852,22547,17500,20550,21485,23021,31575,21914,23829,25226,46038,27949,26951,22236,19621,17071,20241,23951,32194,22936,30787
ENSG00000187109.16,16693,14954,15884,17206,17476,13206,14939,15913,21236,17422,20048,20334,30202,50917,31770,30743,21291,19385,18542,21731,29731,37447,27296,43868
ENSG00000166598.17,11189,10630,11161,11790,14502,11378,14456,14463,17362,12091,16581,16338,39839,53846,31428,29905,18641,17651,17783,21116,37502,49340,32460,53779
ENSG00000108654.17,24703,23257,24131,25523,23116,15865,18606,19924,25495,18016,24476,24887,20646,40351,24319,22175,24814,21821,19397,23530,21275,24483,18790,30497
ENSG00000163682.18,19356,19476,18776,20208,24392,18565,22351,22455,16306,20345,15479,17477,26589,46934,30124,28109,16419,13988,12349,14629,25353,34260,24726,33793
ENSG00000111669.16,17073,17559,16511,17932,21466,17184,19792,21385,15626,21232,15868,16310,26739,52469,30646,29376,16477,17098,16590,19426,23192,34151,23226,32292
ENSG00000147065.19,24375,23239,23594,24314,27505,19196,21957,23466,31787,22308,30486,31015,11279,19378,11427,10043,33172,29936,28060,33474,11841,12358,9547,17315
ENSG00000110321.19,16683,15339,16360,16627,14701,9713,11238,11584,23466,15861,21877,22350,26601,47120,27062,25368,23911,21309,20470,24466,26519,31297,22955,36446
ENSG00000081237.23,25676,21876,25977,26531,32337,20917,24406,26623,39648,22332,36619,37693,6063,10621,6379,5802,37443,31206,26620,32308,7454,6677,5548,11542
ENSG00000145649.8,24884,24430,24414,25784,58501,39112,44935,49113,19047,22645,17304,16952,730,1681,765,699,28681,34445,41555,47436,624,756,515,1142
ENSG00000196230.15,16220,15171,14960,16165,10217,7150,8033,8288,47109,51698,42931,46698,8781,12609,7409,7214,46786,40988,36817,43171,8641,9903,6904,10049
ENSG00000179218.16,12655,12950,11603,12549,13647,10827,13087,13174,21613,24390,20420,20824,27632,41230,24558,21866,23975,23475,24251,28660,26996,32241,21986,36269
ENSG00000164924.19,19242,16535,18260,19567,20666,14265,16128,17184,27243,22631,25287,26382,19544,30941,17926,16755,27500,25123,23165,27923,20695,22674,16554,26256
ENSG00000134954.15,24515,22259,24064,25178,35906,23898,28158,32416,34982,19098,33716,35494,6486,10564,6315,5946,34442,28465,24230,29221,6739,8472,6386,10011
ENSG00000164587.14,20344,22878,20425,21495,23120,18296,21337,21554,21983,33769,21796,23399,16558,30595,18896,17824,20924,19574,16509,19922,16005,21291,15382,22256
ENSG00000142534.8,19245,20229,18412,19815,23375,18608,21970,23002,20420,30511,19214,21754,18468,33057,20949,19575,20283,17674,15769,19203,17569,23400,16629,22467
ENSG00000138326.22,19202,19746,18590,19433,25316,18418,22376,22187,26160,30007,24642,26754,13308,24333,14853,14321,24401,21040,18201,21570,13378,17495,12756,19147
ENSG00000174748.23,19561,18442,19428,20127,23523,17366,20313,21164,20834,24796,19103,21157,17311,30674,18933,17803,20778,18067,16373,19409,17036,22147,15558,22266
ENSG00000122026.13,16453,15843,15506,16449,20993,15101,18581,18540,20758,26785,19802,22034,19257,34039,20506,20501,20557,17721,15279,18186,18375,24669,17681,24486
ENSG00000034510.7,21538,22881,19597,21047,26159,20649,23782,25412,27851,41293,27997,29968,6610,11530,6451,6675,28603,27459,24372,29845,5612,8063,5637,7651
ENSG00000127022.17,10960,10081,10845,11123,13146,10112,12460,12412,15371,9499,13972,14575,31096,47661,27429,25838,16006,14392,14807,17207,31076,36090,26098,41134
ENSG00000169045.20,15391,14581,15317,15960,18394,12726,14073,14695,24410,16814,24844,22223,21024,32000,17545,16370,24171,21496,19488,23901,20859,22590,16121,27564
ENSG00000065978.20,11805,11606,10940,12033,10582,7940,9325,9836,16717,18147,16130,16513,27083,49131,29986,28336,17543,15767,14991,17947,25784,34019,24250,33224
ENSG00000161016.19,16786,16373,15785,17237,18374,15016,17364,18430,17192,24183,16786,18623,20654,36873,22834,21322,18359,16204,14688,17503,19201,26393,18129,24251
ENSG00000122406.15,16115,16013,15842,16484,17657,13259,15301,16176,17745,20885,17284,17906,21452,38838,23216,22059,17299,15555,13689,16453,20275,26997,19467,27169
ENSG00000023445.18,15453,12883,14764,16116,16051,10620,12490,13692,11539,6464,10515,9927,25909,43454,24664,23610,13267,12958,14412,17363,26814,33048,23646,47462
