chr	start	end	DMSO-1	DMSO-2	DMSO-3	DMSO-CD19-1	DMSO-CD19-2	DMSO-CD19-3	GSK-1	GSK-2	GSK-3	GSK-CD19-1	GSK-CD19-2	GSK-CD19-3	PBMC-1	PBMC-2	PBMC-3	PBMC-CD19-1	PBMC-CD19-2	PBMC-CD19-3
Y	56755560	56756302	1200	1280	1055	2	0	0	814	822	878	1605	2152	1260	884	848	717	2026	1754	1767
Y	56767120	56767494	828	760	694	0	0	0	504	497	558	924	1377	861	620	614	564	1215	1128	1004
Y	56760926	56761740	728	686	598	0	0	0	531	431	550	860	1277	764	560	529	560	1243	1016	1022
Y	56736570	56737129	894	815	741	2	0	0	546	564	588	1044	1391	949	587	610	596	1398	1254	1182
Y	56701610	56702848	1785	1717	1528	10	0	2	1183	1196	1230	2138	2917	1768	1438	1306	984	2865	2531	2381
Y	56769099	56770217	1059	917	809	6	0	0	735	700	743	1277	1852	1061	868	800	708	1649	1459	1325
Y	56682478	56683207	742	690	638	2	0	0	530	542	476	904	1246	741	567	563	592	1183	970	959
Y	56726348	56727028	610	633	534	1	0	0	418	412	435	787	1144	644	521	449	490	1039	933	898
Y	56763273	56763645	1236	1261	1089	2	4	0	922	803	854	1412	2049	1275	995	924	559	1879	1786	1658
Y	56706660	56708276	1390	1433	1225	6	4	0	1046	1019	1030	1702	2575	1588	1059	1046	1220	2310	2135	2007
Y	56758408	56759073	793	782	764	6	0	0	602	575	558	963	1357	813	590	576	602	1338	1217	1112
Y	56768184	56768883	950	975	861	2	0	4	697	752	721	1314	1734	1131	789	781	786	1647	1464	1300
Y	56689535	56690376	1027	974	864	2	4	0	681	665	731	1341	1693	1093	838	731	680	1597	1463	1446
Y	56715270	56716029	990	976	813	2	4	0	709	673	654	1269	1827	1185	806	686	720	1524	1524	1332
Y	56765141	56765555	615	574	592	4	0	0	394	443	394	746	1167	783	515	475	450	1130	1033	964
Y	56719241	56719737	619	595	502	0	0	2	404	375	377	696	948	606	461	457	429	868	771	699
